Item_ID,Item_Weight,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Yrs_since_inception,Outlet_Size,Outlet_Location_Type,Outlet_Type,sales,Number_of_units_sold
4607,8.31,Regular,Snack Foods,179.1028,OUT049,17,Medium,Tier 1,Supermarket Type1,3896.2616,22
4608,16.75,Regular,Soft Drinks,38.7822,OUT013,29,High,Tier 3,Supermarket Type1,667.7974,17
4609,19.75,Low Fat,Snack Foods,212.0902,OUT018,7,Medium,Tier 3,Supermarket Type2,3185.853,15
4610,17.1,Regular,Canned,141.1838,OUT013,29,High,Tier 3,Supermarket Type1,2247.7408,16
4611,10.5,Regular,Baking Goods,163.121,OUT013,29,High,Tier 3,Supermarket Type1,1794.331,11
4612,6.635,Regular,Baking Goods,121.3098,OUT045,14,Medium,Tier 2,Supermarket Type1,2530.7058,21
4613,14.15,Low Fat,Soft Drinks,41.4138,OUT013,29,High,Tier 3,Supermarket Type1,812.276,20
4614,13.3,Low Fat,Dairy,232.53,OUT046,19,Small,Tier 1,Supermarket Type1,699.09,3
4615,8.89,Low Fat,Frozen Foods,102.4016,OUT017,9,Medium,Tier 2,Supermarket Type1,2732.4432,27
4616,9.1,Regular,Breads,173.2054,OUT045,14,Medium,Tier 2,Supermarket Type1,3151.8972,18
4617,7.5,Low Fat,Frozen Foods,239.0906,OUT049,17,Medium,Tier 1,Supermarket Type1,5942.265,25
4618,16.85,Regular,Frozen Foods,192.4478,OUT017,9,Medium,Tier 2,Supermarket Type1,4843.695,25
4619,7.485,Low Fat,Snack Foods,109.0228,OUT035,12,Small,Tier 2,Supermarket Type1,2542.0244,23
4620,11.6,Low Fat,Soft Drinks,140.3154,OUT017,9,Medium,Tier 2,Supermarket Type1,2552.6772,18
4621,11.65,Low Fat,Snack Foods,227.0694,OUT018,7,Medium,Tier 3,Supermarket Type2,1141.847,5
4622,13,Low Fat,Household,47.5034,OUT017,9,Medium,Tier 2,Supermarket Type1,680.4476,14
4623,12.65,Low Fat,Soft Drinks,159.0578,OUT045,14,Medium,Tier 2,Supermarket Type1,2085.9514,13
4624,20.25,Regular,Canned,92.512,OUT010,18,Medium,Tier 3,Grocery Store,186.424,2
4625,8.6,Regular,Canned,190.153,OUT035,12,Small,Tier 2,Supermarket Type1,3036.048,16
4626,12.6,Low Fat,Breads,62.7194,OUT017,9,Medium,Tier 2,Supermarket Type1,866.8716,14
4627,17.7,Low Fat,Frozen Foods,95.041,OUT035,12,Small,Tier 2,Supermarket Type1,868.869,9
4628,14.15,Low Fat,Soft Drinks,82.4276,OUT046,19,Small,Tier 1,Supermarket Type1,1137.1864,14
4629,19.25,Low Fat,Dairy,52.7956,OUT017,9,Medium,Tier 2,Supermarket Type1,928.1252,18
4630,8.88,Low Fat,Hard Drinks,151.7682,OUT013,29,High,Tier 3,Supermarket Type1,762.341,5
4631,20.5,Low Fat,Household,40.2822,OUT045,14,Medium,Tier 2,Supermarket Type1,707.0796,18
4632,13.5,Low Fat,Household,160.292,OUT046,19,Small,Tier 1,Supermarket Type1,1438.128,9
4633,8.89,Low Fat,Frozen Foods,101.7016,OUT010,18,Medium,Tier 3,Grocery Store,101.2016,1
4634,7.855,Low Fat,Canned,188.5188,OUT018,7,Medium,Tier 3,Supermarket Type2,952.094,5
4635,7.235,Low Fat,Household,116.0492,OUT046,19,Small,Tier 1,Supermarket Type1,1969.4364,17
4636,6.92,Low Fat,Dairy,60.5852,OUT045,14,Medium,Tier 2,Supermarket Type1,1314.2892,22
4637,9.3,Low Fat,Fruits and Vegetables,90.8172,OUT017,9,Medium,Tier 2,Supermarket Type1,535.3032,6
4638,18.5,Low Fat,Others,132.1284,OUT010,18,Medium,Tier 3,Grocery Store,263.6568,2
4639,8.02,Low Fat,Household,154.5972,OUT035,12,Small,Tier 2,Supermarket Type1,1402.1748,9
4640,9.195,Low Fat,Household,105.1622,OUT017,9,Medium,Tier 2,Supermarket Type1,1693.7952,16
4641,12.8,Low Fat,Others,105.5938,OUT045,14,Medium,Tier 2,Supermarket Type1,2143.876,20
4642,16.6,Low Fat,Household,177.6344,OUT049,17,Medium,Tier 1,Supermarket Type1,2676.516,15
4643,14,Regular,Frozen Foods,53.064,OUT035,12,Small,Tier 2,Supermarket Type1,905.488,17
4644,18.6,Low Fat,Frozen Foods,246.3802,OUT049,17,Medium,Tier 1,Supermarket Type1,7370.406,30
4645,16,Low Fat,Starchy Foods,226.8404,OUT035,12,Small,Tier 2,Supermarket Type1,6301.1312,28
4646,17.6,Low Fat,Health and Hygiene,160.692,OUT035,12,Small,Tier 2,Supermarket Type1,1597.92,10
4647,21.25,Low Fat,Snack Foods,178.237,OUT035,12,Small,Tier 2,Supermarket Type1,529.311,3
4648,7.235,Low Fat,Household,117.5492,OUT035,12,Small,Tier 2,Supermarket Type1,1969.4364,17
4649,14.6,Low Fat,Soft Drinks,50.3692,OUT017,9,Medium,Tier 2,Supermarket Type1,1034.6532,21
4650,13.85,Regular,Frozen Foods,161.521,OUT018,7,Medium,Tier 3,Supermarket Type2,1794.331,11
4651,13.65,Regular,Frozen Foods,197.6426,OUT018,7,Medium,Tier 3,Supermarket Type2,2768.3964,14
4652,7.365,Low Fat,Fruits and Vegetables,226.172,OUT046,19,Small,Tier 1,Supermarket Type1,3169.208,14
4653,18.35,Low Fat,Household,223.5746,OUT018,7,Medium,Tier 3,Supermarket Type2,3589.9936,16
4654,5.465,Regular,Baking Goods,132.5626,OUT018,7,Medium,Tier 3,Supermarket Type2,262.3252,2
4655,18.6,Low Fat,Breakfast,99.8358,OUT017,9,Medium,Tier 2,Supermarket Type1,1910.1802,19
4656,13.85,Low Fat,Soft Drinks,140.9154,OUT017,9,Medium,Tier 2,Supermarket Type1,1701.7848,12
4657,14,Regular,Frozen Foods,154.5656,OUT013,29,High,Tier 3,Supermarket Type1,2471.4496,16
4658,14,Regular,Snack Foods,54.764,OUT013,29,High,Tier 3,Supermarket Type1,1331.6,24
4659,5.905,Low Fat,Canned,222.5456,OUT018,7,Medium,Tier 3,Supermarket Type2,3315.684,15
4660,7.27,Low Fat,Soft Drinks,114.2518,OUT046,19,Small,Tier 1,Supermarket Type1,2618.5914,23
4661,6.155,Regular,Meat,214.556,OUT046,19,Small,Tier 1,Supermarket Type1,2769.728,13
4662,19.5,Regular,Soft Drinks,233.4958,OUT017,9,Medium,Tier 2,Supermarket Type1,5375.0034,23
4663,15.2,Low Fat,Canned,216.8824,OUT017,9,Medium,Tier 2,Supermarket Type1,2838.9712,13
4664,12.15,Regular,Canned,125.0046,OUT018,7,Medium,Tier 3,Supermarket Type2,1743.0644,14
4665,12.6,Low Fat,Breads,61.9194,OUT018,7,Medium,Tier 3,Supermarket Type2,619.194,10
4666,14.5,Low Fat,Others,164.821,OUT035,12,Small,Tier 2,Supermarket Type1,2120.573,13
4667,16.6,Low Fat,Fruits and Vegetables,173.0738,OUT017,9,Medium,Tier 2,Supermarket Type1,3823.0236,22
4668,11.8,Regular,Meat,151.4366,OUT013,29,High,Tier 3,Supermarket Type1,1360.2294,9
4669,13.1,Regular,Fruits and Vegetables,178.8318,OUT013,29,High,Tier 3,Supermarket Type1,3969.4996,22
4670,17.7,Low Fat,Fruits and Vegetables,115.1834,OUT010,18,Medium,Tier 3,Grocery Store,345.5502,3
4671,17.85,Low Fat,Breads,196.5794,OUT010,18,Medium,Tier 3,Grocery Store,585.2382,3
4672,12.3,Regular,Starchy Foods,92.6804,OUT045,14,Medium,Tier 2,Supermarket Type1,1010.6844,11
4673,11.8,Low Fat,Health and Hygiene,81.4618,OUT010,18,Medium,Tier 3,Grocery Store,161.1236,2
4674,11.1,Low Fat,Baking Goods,157.4604,OUT045,14,Medium,Tier 2,Supermarket Type1,3010.7476,19
4675,11.3,Low Fat,Meat,198.1426,OUT045,14,Medium,Tier 2,Supermarket Type1,988.713,5
4676,5.75,Regular,Dairy,112.8176,OUT013,29,High,Tier 3,Supermarket Type1,1374.2112,12
4677,11.35,Regular,Snack Foods,100.0016,OUT018,7,Medium,Tier 3,Supermarket Type2,1012.016,10
4678,14,Low Fat,Health and Hygiene,130.431,OUT049,17,Medium,Tier 1,Supermarket Type1,778.986,6
4679,19.75,Regular,Frozen Foods,179.766,OUT045,14,Medium,Tier 2,Supermarket Type1,2336.958,13
4680,6.525,Low Fat,Household,85.0882,OUT049,17,Medium,Tier 1,Supermarket Type1,2233.0932,26
4681,10.3,Low Fat,Meat,103.9648,OUT049,17,Medium,Tier 1,Supermarket Type1,1661.8368,16
4682,5.78,Regular,Snack Foods,264.7568,OUT049,17,Medium,Tier 1,Supermarket Type1,4745.8224,18
4683,11.85,Regular,Fruits and Vegetables,164.1526,OUT045,14,Medium,Tier 2,Supermarket Type1,3124.5994,19
4684,16.35,Low Fat,Fruits and Vegetables,50.1324,OUT018,7,Medium,Tier 3,Supermarket Type2,467.3916,9
4685,10.5,Low Fat,Fruits and Vegetables,37.6164,OUT046,19,Small,Tier 1,Supermarket Type1,540.6296,14
4686,19,Regular,Frozen Foods,48.0718,OUT046,19,Small,Tier 1,Supermarket Type1,992.7078,21
4687,14.6,Low Fat,Others,238.8538,OUT049,17,Medium,Tier 1,Supermarket Type1,6008.845,25
4688,18.75,Low Fat,Health and Hygiene,104.628,OUT045,14,Medium,Tier 2,Supermarket Type1,745.696,7
4689,5.26,Regular,Baking Goods,161.8868,OUT035,12,Small,Tier 2,Supermarket Type1,3275.736,20
4690,18.25,Low Fat,Snack Foods,140.2154,OUT045,14,Medium,Tier 2,Supermarket Type1,1701.7848,12
4691,15.1,Low Fat,Meat,242.7512,OUT046,19,Small,Tier 1,Supermarket Type1,4119.9704,17
4692,15.5,Regular,Baking Goods,81.5934,OUT010,18,Medium,Tier 3,Grocery Store,327.5736,4
4693,13.65,Low Fat,Frozen Foods,45.7402,OUT049,17,Medium,Tier 1,Supermarket Type1,780.9834,17
4694,16.1,Low Fat,Soft Drinks,189.3846,OUT045,14,Medium,Tier 2,Supermarket Type1,3630.6074,19
4695,12.85,Low Fat,Frozen Foods,39.7164,OUT010,18,Medium,Tier 3,Grocery Store,231.6984,6
4696,9.5,Low Fat,Soft Drinks,32.99,OUT035,12,Small,Tier 2,Supermarket Type1,133.16,4
4697,13.8,Low Fat,Dairy,245.1802,OUT035,12,Small,Tier 2,Supermarket Type1,5650.6446,23
4698,5.78,Regular,Snack Foods,263.7568,OUT017,9,Medium,Tier 2,Supermarket Type1,2636.568,10
4699,19.7,Low Fat,Household,96.0726,OUT045,14,Medium,Tier 2,Supermarket Type1,1272.3438,13
4700,14.65,Low Fat,Household,161.5552,OUT010,18,Medium,Tier 3,Grocery Store,324.9104,2
4701,6.67,Regular,Snack Foods,130.0626,OUT010,18,Medium,Tier 3,Grocery Store,131.1626,1
4702,6.11,Regular,Fruits and Vegetables,131.2968,OUT010,18,Medium,Tier 3,Grocery Store,260.9936,2
4703,13.65,Regular,Frozen Foods,260.0936,OUT010,18,Medium,Tier 3,Grocery Store,260.9936,1
4704,17.2,Low Fat,Meat,160.6578,OUT013,29,High,Tier 3,Supermarket Type1,3690.5294,23
4705,6.32,Low Fat,Meat,40.2822,OUT035,12,Small,Tier 2,Supermarket Type1,1139.1838,28
4706,4.88,Regular,Baking Goods,52.9298,OUT049,17,Medium,Tier 1,Supermarket Type1,1995.4026,38
4707,5.425,Regular,Baking Goods,88.3514,OUT017,9,Medium,Tier 2,Supermarket Type1,1416.8224,16
4708,15.85,Regular,Frozen Foods,37.2506,OUT046,19,Small,Tier 1,Supermarket Type1,265.6542,7
4709,7.5,Low Fat,Canned,121.7072,OUT017,9,Medium,Tier 2,Supermarket Type1,3552.7088,29
4710,12.65,Low Fat,Soft Drinks,161.5578,OUT013,29,High,Tier 3,Supermarket Type1,2406.867,15
4711,20.75,Low Fat,Fruits and Vegetables,124.173,OUT013,29,High,Tier 3,Supermarket Type1,2956.152,24
4712,9,Low Fat,Canned,79.7644,OUT035,12,Small,Tier 2,Supermarket Type1,1649.8524,21
4713,14.1,Low Fat,Fruits and Vegetables,86.4198,OUT045,14,Medium,Tier 2,Supermarket Type1,1133.8574,13
4714,7.55,Low Fat,Canned,152.334,OUT035,12,Small,Tier 2,Supermarket Type1,2603.278,17
4715,13,Low Fat,Household,45.406,OUT046,19,Small,Tier 1,Supermarket Type1,605.878,13
4716,12.3,Regular,Starchy Foods,92.9804,OUT013,29,High,Tier 3,Supermarket Type1,1929.4884,21
4717,17.25,Low Fat,Household,251.3724,OUT045,14,Medium,Tier 2,Supermarket Type1,6795.1548,27
4718,15.85,Low Fat,Household,42.7112,OUT017,9,Medium,Tier 2,Supermarket Type1,639.168,15
4719,18.85,Low Fat,Health and Hygiene,192.1846,OUT035,12,Small,Tier 2,Supermarket Type1,3248.4382,17
4720,16.35,Regular,Fruits and Vegetables,227.6062,OUT017,9,Medium,Tier 2,Supermarket Type1,7222.5984,32
4721,14.1,Low Fat,Dairy,229.0668,OUT035,12,Small,Tier 2,Supermarket Type1,3225.1352,14
4722,7.905,Low Fat,Snack Foods,249.0408,OUT035,12,Small,Tier 2,Supermarket Type1,3755.112,15
4723,12,Low Fat,Canned,179.3976,OUT013,29,High,Tier 3,Supermarket Type1,3440.8544,19
4724,12.15,Regular,Fruits and Vegetables,163.4552,OUT035,12,Small,Tier 2,Supermarket Type1,974.7312,6
4725,10.1,Low Fat,Meat,75.367,OUT049,17,Medium,Tier 1,Supermarket Type1,535.969,7
4726,17.5,Low Fat,Frozen Foods,262.491,OUT017,9,Medium,Tier 2,Supermarket Type1,5259.82,20
4727,17.1,Low Fat,Fruits and Vegetables,112.3886,OUT018,7,Medium,Tier 3,Supermarket Type2,1779.0176,16
4728,7.785,Low Fat,Fruits and Vegetables,61.451,OUT049,17,Medium,Tier 1,Supermarket Type1,759.012,12
4729,11.8,Regular,Snack Foods,125.9704,OUT013,29,High,Tier 3,Supermarket Type1,1877.556,15
4730,13.15,Regular,Fruits and Vegetables,171.8764,OUT045,14,Medium,Tier 2,Supermarket Type1,3779.0808,22
4731,8.5,Low Fat,Canned,51.1324,OUT017,9,Medium,Tier 2,Supermarket Type1,259.662,5
4732,8.645,Low Fat,Health and Hygiene,96.341,OUT013,29,High,Tier 3,Supermarket Type1,193.082,2
4733,17.6,Regular,Meat,110.9202,OUT045,14,Medium,Tier 2,Supermarket Type1,1687.803,15
4734,9.1,Low Fat,Baking Goods,127.5362,OUT017,9,Medium,Tier 2,Supermarket Type1,4655.9394,37
4735,12.8,Regular,Meat,225.9404,OUT013,29,High,Tier 3,Supermarket Type1,4950.8888,22
4736,7.63,Low Fat,Soft Drinks,95.4436,OUT035,12,Small,Tier 2,Supermarket Type1,1418.154,15
4737,9.285,Regular,Frozen Foods,246.4144,OUT017,9,Medium,Tier 2,Supermarket Type1,1225.072,5
4738,13.6,Regular,Dairy,231.03,OUT045,14,Medium,Tier 2,Supermarket Type1,5359.69,23
4739,8.895,Low Fat,Breakfast,176.237,OUT045,14,Medium,Tier 2,Supermarket Type1,1764.37,10
4740,16.35,Low Fat,Household,195.211,OUT013,29,High,Tier 3,Supermarket Type1,2553.343,13
4741,17.6,Low Fat,Frozen Foods,43.3454,OUT013,29,High,Tier 3,Supermarket Type1,1006.6896,23
4742,7.975,Low Fat,Baking Goods,85.225,OUT013,29,High,Tier 3,Supermarket Type1,1081.925,13
4743,15.85,Low Fat,Starchy Foods,36.7164,OUT017,9,Medium,Tier 2,Supermarket Type1,308.9312,8
4744,15.7,Low Fat,Frozen Foods,178.666,OUT013,29,High,Tier 3,Supermarket Type1,2516.724,14
4745,8.985,Regular,Frozen Foods,128.831,OUT046,19,Small,Tier 1,Supermarket Type1,1428.141,11
4746,20.35,Low Fat,Dairy,260.1594,OUT013,29,High,Tier 3,Supermarket Type1,2093.2752,8
4747,6.59,Low Fat,Fruits and Vegetables,85.6908,OUT013,29,High,Tier 3,Supermarket Type1,1929.4884,23
4748,19.85,Low Fat,Dairy,264.0884,OUT035,12,Small,Tier 2,Supermarket Type1,5829.7448,22
4749,16.85,Low Fat,Snack Foods,91.4488,OUT046,19,Small,Tier 1,Supermarket Type1,2082.6224,23
4750,16.75,Low Fat,Fruits and Vegetables,256.4988,OUT013,29,High,Tier 3,Supermarket Type1,7452.9652,29
4751,17.6,Regular,Meat,110.5202,OUT017,9,Medium,Tier 2,Supermarket Type1,450.0808,4
4752,7.905,Low Fat,Snack Foods,250.4408,OUT010,18,Medium,Tier 3,Grocery Store,500.6816,2
4753,7.785,Regular,Fruits and Vegetables,103.1964,OUT018,7,Medium,Tier 3,Supermarket Type2,736.3748,7
4754,7.825,Low Fat,Household,253.0698,OUT035,12,Small,Tier 2,Supermarket Type1,6088.0752,24
4755,20.75,Low Fat,Soft Drinks,153.0024,OUT017,9,Medium,Tier 2,Supermarket Type1,2277.036,15
4756,6.26,Regular,Meat,151.1366,OUT035,12,Small,Tier 2,Supermarket Type1,2267.049,15
4757,18.2,Low Fat,Fruits and Vegetables,147.3734,OUT010,18,Medium,Tier 3,Grocery Store,296.9468,2
4758,13,Low Fat,Household,46.306,OUT018,7,Medium,Tier 3,Supermarket Type2,559.272,12
4759,20.25,Regular,Fruits and Vegetables,222.1772,OUT035,12,Small,Tier 2,Supermarket Type1,5559.43,25
4760,8.695,Low Fat,Household,95.5094,OUT049,17,Medium,Tier 1,Supermarket Type1,1237.7222,13
4761,7.27,Low Fat,Soft Drinks,113.5518,OUT045,14,Medium,Tier 2,Supermarket Type1,569.259,5
4762,12.85,Low Fat,Fruits and Vegetables,198.4768,OUT045,14,Medium,Tier 2,Supermarket Type1,1379.5376,7
4763,7.075,Low Fat,Dairy,142.7128,OUT018,7,Medium,Tier 3,Supermarket Type2,1869.5664,13
4764,8.195,Low Fat,Baking Goods,94.3462,OUT049,17,Medium,Tier 1,Supermarket Type1,925.462,10
4765,7.09,Low Fat,Baking Goods,47.9034,OUT035,12,Small,Tier 2,Supermarket Type1,583.2408,12
4766,6.095,Low Fat,Others,141.4154,OUT046,19,Small,Tier 1,Supermarket Type1,1418.154,10
4767,19.35,Regular,Fruits and Vegetables,80.2644,OUT017,9,Medium,Tier 2,Supermarket Type1,942.7728,12
4768,6.15,Low Fat,Baking Goods,99.3384,OUT046,19,Small,Tier 1,Supermarket Type1,2364.9216,24
4769,17.7,Low Fat,Household,167.0474,OUT035,12,Small,Tier 2,Supermarket Type1,5895.659,35
